ts_datenstand,ts_download,bundesland,bundesland_iso,impfungen_kumulativ,differenz_zum_vortag,impfungen_pro_1_000_einwohner,indikation_nach_alter,berufliche_indikation,medizinische_indikation,pflegeheim_bewohner_in,notes,rs
2020-12-30T10:00:00Z,2020-12-30T19:07:30Z,Sachsen-Anhalt,ST,7287,3302,NA,2620,3209,262,3942,NA,NA
2020-12-30T10:00:00Z,2020-12-30T19:07:30Z,Schleswig-Holstein,SH,3579,1893,NA,1016,1858,871,1698,NA,NA
2020-12-30T10:00:00Z,2020-12-30T19:07:30Z,Thüringen,TH,672,415,NA,226,252,0,327,NA,NA
2020-12-31T07:30:00Z,2020-12-31T12:20:43Z,Baden-Württemberg,BW,12649,4407,NA,5347,4196,763,1831,NA,NA
2020-12-31T07:30:00Z,2020-12-31T12:20:43Z,Bayern,BY,28206,15104,NA,5831,13981,424,10347,NA,NA
2020-12-31T07:30:00Z,2020-12-31T12:20:43Z,Berlin,BE,9084,2788,NA,6554,2733,105,6350,NA,NA
2020-12-31T07:30:00Z,2020-12-31T12:20:43Z,Brandenburg,BB,3036,1483,NA,204,2812,20,224,NA,NA
2020-12-31T07:30:00Z,2020-12-31T12:20:43Z,Bremen,HB,1691,601,NA,821,408,5,510,NA,NA
2020-12-31T07:30:00Z,2020-12-31T12:20:43Z,Hamburg,HH,2040,541,NA,832,1042,NA,999,NA,NA
2020-12-31T07:30:00Z,2020-12-31T12:20:43Z,Hessen,HE,15674,6226,NA,4677,8681,712,6512,NA,NA
2020-12-31T07:30:00Z,2020-12-31T12:20:43Z,Mecklenburg-Vorpommern,MV,11101,3640,NA,173,6349,7,4651,NA,NA
2020-12-31T07:30:00Z,2020-12-31T12:20:43Z,Niedersachsen,NI,2705,1178,NA,296,1512,315,1423,NA,NA
2020-12-31T07:30:00Z,2020-12-31T12:20:43Z,Nordrhein-Westfalen,NW,19930,7359,NA,NA,6610,NA,13693,NA,NA
2020-12-31T07:30:00Z,2020-12-31T12:20:43Z,Rheinland-Pfalz,RP,4247,1673,NA,NA,1941,NA,2306,NA,NA
2020-12-31T07:30:00Z,2020-12-31T12:20:43Z,Saarland,SL,2119,601,NA,1641,161,NA,899,NA,NA
2020-12-31T07:30:00Z,2020-12-31T12:20:43Z,Sachsen,SN,2653,1166,NA,150,2460,1,192,NA,NA
2020-12-31T07:30:00Z,2020-12-31T12:20:43Z,Sachsen-Anhalt,ST,10100,2813,NA,3107,5068,300,4815,NA,NA
