ts_datenstand,ts_download,bundesland,bundesland_iso,impfungen_neu,indikation_nach_alter_neu,medizinische_indikation_neu,berufliche_indikation_neu,pflegeheim_bewohner_in_neu,notes
2021-01-02T07:00:00Z,2021-01-02T14:39:57Z,Sachsen-Anhalt,ST,625,276,37,178,447,NA
2021-01-02T07:00:00Z,2021-01-02T14:39:57Z,Schleswig-Holstein,SH,694,364,271,167,567,NA
2021-01-02T07:00:00Z,2021-01-02T14:39:57Z,Thüringen,TH,NA,0,NA,0,0,NA
2021-01-03T07:00:00Z,2021-01-03T12:06:44Z,Baden-Württemberg,BW,4014,1954,193,1243,797,NA
2021-01-03T07:00:00Z,2021-01-03T12:06:44Z,Bayern,BY,11742,5015,373,6136,6163,NA
2021-01-03T07:00:00Z,2021-01-03T12:06:44Z,Berlin,BE,1443,1155,0,328,1151,NA
2021-01-03T07:00:00Z,2021-01-03T12:06:44Z,Brandenburg,BB,NA,0,0,0,0,(keine Meldung für den 02.01.; Nachmeldung erfolgt am 04.01.2020)
2021-01-03T07:00:00Z,2021-01-03T12:06:44Z,Bremen,HB,96,3,3,57,28,NA
2021-01-03T07:00:00Z,2021-01-03T12:06:44Z,Hamburg,HH,662,310,NA,307,355,NA
2021-01-03T07:00:00Z,2021-01-03T12:06:44Z,Hessen,HE,5294,1534,141,3155,1889,NA
2021-01-03T07:00:00Z,2021-01-03T12:06:44Z,Mecklenburg-Vorpommern,MV,NA,0,0,0,0,NA
2021-01-03T07:00:00Z,2021-01-03T12:06:44Z,Niedersachsen,NI,1017,139,155,536,556,NA
2021-01-03T07:00:00Z,2021-01-03T12:06:44Z,Nordrhein-Westfalen,NW,13142,NA,NA,6960,8356,NA
2021-01-03T07:00:00Z,2021-01-03T12:06:44Z,Rheinland-Pfalz,RP,59,NA,NA,350,0,(Nachmeldungen der mobilen Teams stehen noch aus)
2021-01-03T07:00:00Z,2021-01-03T12:06:44Z,Saarland,SL,833,614,NA,160,286,NA
2021-01-03T07:00:00Z,2021-01-03T12:06:44Z,Sachsen,SN,343,71,0,215,128,NA
2021-01-03T07:00:00Z,2021-01-03T12:06:44Z,Sachsen-Anhalt,ST,1051,455,51,434,617,NA
2021-01-03T07:00:00Z,2021-01-03T12:06:44Z,Schleswig-Holstein,SH,969,395,279,446,603,NA
2021-01-03T07:00:00Z,2021-01-03T12:06:44Z,Thüringen,TH,NA,0,NA,0,0,NA
2021-01-04T11:00:00Z,2021-01-04T12:06:45Z,Baden-Württemberg,BW,3390,1543,87,1311,732,NA
2021-01-04T11:00:00Z,2021-01-04T12:06:45Z,Bayern,BY,8425,2625,189,6119,3395,NA
2021-01-04T11:00:00Z,2021-01-04T12:06:45Z,Berlin,BE,935,690,0,2485,657,NA
2021-01-04T11:00:00Z,2021-01-04T12:06:45Z,Brandenburg,BB,NA,0,0,90,0,(Meldung vom 03.01. steht noch aus)
2021-01-04T11:00:00Z,2021-01-04T12:06:45Z,Bremen,HB,66,0,0,41,24,NA
2021-01-04T11:00:00Z,2021-01-04T12:06:45Z,Hamburg,HH,436,177,0,179,257,NA
2021-01-04T11:00:00Z,2021-01-04T12:06:45Z,Hessen,HE,3320,944,89,1770,1386,NA
2021-01-04T11:00:00Z,2021-01-04T12:06:45Z,Mecklenburg-Vorpommern,MV,NA,0,0,0,0,NA
2021-01-04T11:00:00Z,2021-01-04T12:06:45Z,Niedersachsen,NI,432,80,53,181,260,NA
2021-01-04T11:00:00Z,2021-01-04T12:06:45Z,Nordrhein-Westfalen,NW,3539,0,0,2548,2602,NA
2021-01-04T11:00:00Z,2021-01-04T12:06:45Z,Rheinland-Pfalz,RP,NA,0,0,0,0,NA
2021-01-04T11:00:00Z,2021-01-04T12:06:45Z,Saarland,SL,NA,0,0,0,0,NA
2021-01-04T11:00:00Z,2021-01-04T12:06:45Z,Sachsen,SN,523,119,0,230,293,NA
2021-01-04T11:00:00Z,2021-01-04T12:06:45Z,Sachsen-Anhalt,ST,544,154,16,252,292,NA
2021-01-04T11:00:00Z,2021-01-04T12:06:45Z,Schleswig-Holstein,SH,624,276,248,181,525,NA
2021-01-04T11:00:00Z,2021-01-04T12:06:45Z,Thüringen,TH,NA,0,0,0,0,NA
2021-01-05T11:00:00Z,2021-01-05T12:25:59Z,Baden-Württemberg,BW,4758,2962,247,1089,710,NA
2021-01-05T11:00:00Z,2021-01-05T12:25:59Z,Bayern,BY,11618,2708,274,6551,2677,NA
2021-01-05T11:00:00Z,2021-01-05T12:25:59Z,Berlin,BE,1631,1101,0,651,950,NA
2021-01-05T11:00:00Z,2021-01-05T12:25:59Z,Brandenburg,BB,25,23,0,2,0,NA
